1	100	1.9692	100	7999900
2	147	1.9635	247	7999753
3	215	1.3396	462	7999538
4	181	1.3594	643	7999357
5	156	1.8848	799	7999201
6	216	1.8152	1015	7998985
7	284	1.7688	1299	7998701
8	360	1.5157	1659	7998341
9	366	1.7242	2025	7997975
10	448	1.7248	2473	7997527
11	549	1.7068	3022	7996978
12	663	1.4109	3685	7996315
13	604	1.6015	4289	7995711
14	665	1.5755	4954	7995046
15	715	1.8061	5669	7994331
16	934	1.9964	6603	7993397
17	1398	1.9646	8001	7991999
18	2047	1.6809	10048	7989952
19	2417	1.6114	12465	7987535
20	2686	1.4878	15151	7984849
21	2653	1.3251	17804	7982196
22	2189	1.3192	19993	7980007
23	1793	1.6254	21786	7978214
24	2018	1.5229	23804	7976196
25	2064	1.5660	25868	7974132
26	2200	1.9243	28068	7971932
27	3133	1.6680	31201	7968799
28	3659	1.6924	34860	7965140
29	4363	1.4653	39223	7960777
30	4212	1.3167	43435	7956565
31	3440	1.5276	46875	7953125
32	3535	1.3957	50410	7949590
33	3166	1.6572	53576	7946424
34	3664	1.9991	57240	7942760
35	5493	1.7721	62733	7937267
36	6988	1.4273	69721	7930279
37	6480	1.9255	76201	7923799
38	9237	1.8577	85438	7914562
39	12541	1.8141	97979	7902021
40	16480	1.9346	114459	7885541
41	23642	1.8340	138101	7861899
42	31539	1.8528	169640	7830360
43	42667	1.5477	212307	7787693
44	44700	1.9867	257007	7742993
45	66455	1.9733	323462	7676538
46	97910	1.4128	421372	7578628
47	89375	1.8278	510747	7489253
48	118672	1.8006	629419	7370581
49	154345	1.6230	783764	7216236
50	173327	1.6712	957091	7042909
51	203009	1.6430	1160100	6839900
52	232041	1.9474	1392141	6607859
53	335852	1.6506	1727993	6272007
54	386428	1.8821	2114421	5885579
55	534069	1.5477	2648490	5351510
56	559569	1.9180	3208059	4791941
57	793466	1.9298	4001525	3998475
58	1134490	1.6227	5136015	2863985
59	1273702	1.6974	6409717	1590283
60	1525123	1.9442	7934840	65160
61	65160	1.8066	8000000	0
